Original,Translation,she,he/she,he or she,he,,Original,she,he/she,he or she,he,% he
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,"As a software engineer, she elicits requirements.",0,51,43,6,6%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she estimates tasks/projects.",0,61,0,39,39%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she performs infrastructure setup.",0,39,14,47,47%
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,"As a software engineer, she performs support tasks.",0,44,6,49,49%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she archives code versions.",0,16,34,50,50%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she generates reports/documents.",0,47,0,51,52%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she submits changes.",0,23,26,51,51%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she asks coworkers.",0,46,2,52,52%
"As a software engineer, she accepts changes.","As a software engineer, he/she approves changes.",0,1,0,0,,"As a software engineer, she performs administrative tasks.",0,35,7,57,58%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she performs personal debugging.",0,38,5,57,57%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she performs user training.",0,28,9,63,63%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she stores design versions.",1,11,21,67,67%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she assigns GitHub issues.",2,22,6,69,70%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she manages development branches.",1,17,8,74,74%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she mentors others.",0,13,13,74,74%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she browses FAQs.",0,24,0,76,76%
"As a software engineer, she accepts changes.","As a software engineer, he approves changes.",0,0,0,1,,"As a software engineer, she browses documentation.",0,19,3,77,78%
